#,動詞,Verb,,Meaning,自/他,意向,能动(V2),"て/で ( noun-で, adj-て, verb-て)",,た/だ,,,,ます,,,
,,,,,,,,Iます,IIて,normal,negative,past,past-negative,normal,negative,past,past-negative
81,(3) 散歩,sanpo,さんぽ,walk; stroll,,散歩しよう,散歩できる,,散歩して, 散歩,散歩しない,散歩した,散歩しなった,散歩します,散歩しません,散歩しました,散歩しませんでした
82,(1) 差す,sasu,さす,"to stretch out hands, to raise an umbrella",,差そう,差せる,,差して, 差す,差さない,差した,差さなった,差します,差しません,差しました,差しませんでした
83,(3) 洗濯,sentaku,せんたく,washing; laundry,,洗濯しよう,洗濯できる,,洗濯して, 洗濯,洗濯しない,洗濯した,洗濯しなった,洗濯します,洗濯しません,洗濯しました,洗濯しませんでした
84,(1) 閉まる,shimaru,しまる,"to close, to be closed",,閉まろう,閉まれる,,締まって, 閉まる,閉まらない,締まった,閉まらなった,閉まります,閉まりません,閉まりました,閉まりませんでした
85,(2) 締める,shimeru,しめる,to tie; to fasten; to tighten?,,締めよう,締めれる,,締めて, 締める,締めない,締めた,締めらなった,締めます,締めません,締めました,締めませんでした
86,(2) 閉める,shimeru,しめる,to close; to shut,,閉めよう,閉めれる,,閉めて, 閉める,閉めない,閉めた,閉めらなった,閉めます,閉めません,閉めました,閉めませんでした
87,(1) 死ぬ,shinu,しぬ,to die,,死のう,死ねる,,死んで, 死ぬ,死なない,死んだ,死なった,死にます,死にません,死にました,死にませんでした
88,(1) 知る,shiru,しる,to know,,知ろう,知れる,,知って, 知る,知らない,知った,知らなった,知ります,知りません,知りました,知りませんでした
89,(3) 質問,shitsumon,しつもん,question; inquiry,,質問しよう,質問できる,,質問して, 質問,質問しない,質問した,質問しなった,質問します,質問しません,質問しました,質問しませんでした
90,(3) 掃除,souji,そうじ,"to clean, to sweep",,掃除しよう,掃除できる,,掃除して, 掃除,掃除しない,掃除した,掃除しなった,掃除します,掃除しません,掃除しました,掃除しませんでした
91,(1) 住む,sumu,すむ,to live in; to reside; to inhabit; to dwell; to abide,,住もう,住める,,住んで, 住む,住まない,住んだ,住まなった,住みます,住みません,住みました,住みませんでした
